ENTRY,NAMES,FORMULA,CHARGE,"GROUPS INVOLVED IN COMPOUND STRUCTURE","ESTIMATED ∆fG'°","SE∆fG'°",NOTES,SMILES,chebi_error
431,glutathione-derivative-of-E-3-nonen-2-one|,C19H32N3O7S,-1,">CH- : 3 | >C=O : 3 | -CH2- : 9 | -S- : 1 | -COO : 2 | -NH3 : 1 | -CH3 : 2 | amide : 2 | -NH- : 2 | Origin : 1",-233.96,1.83,,,"no exact name match in CHEBI"
432,E-2-octenal|,C8H14O,0,"-CH3 : 1 | -CH2- : 4 | =CH- : 2 | -CH=O : 1 | Origin : 1 | OCCC : 1",-3.52,0.67,,,"no exact name match in CHEBI"
433,glutathione-derivative-of-E-2-octenal|,C18H30N3O7S,-1,">CH- : 3 | >C=O : 2 | -CH2- : 9 | -S- : 1 | -COO : 2 | -NH3 : 1 | -CH3 : 1 | -CH=O : 1 | amide : 2 | -NH- : 2 | Origin : 1",-232.31,1.78,,CCCCC\C=C\C=O,
434,E-4-phenyl-3-buten-2-one|,C10H10O,0,"-CH3 : 1 | >C=O : 1 | =CH- : 2 | aromatic ring =C< : 1 | aromatic ring =CH- : 5 | Origin : 1 | OCCC : 1 | CCCC : 1",18.78,1.06,,,"no exact name match in CHEBI"
435,4-glutathionyl-4-phenyl-2-butanone|,C20H26N3O7S,-1,">CH- : 3 | >C=O : 3 | -CH2- : 5 | -S- : 1 | -COO : 2 | -NH3 : 1 | -CH3 : 1 | aromatic ring =C< : 1 | aromatic ring =CH- : 5 | amide : 2 | -NH- : 2 | Origin : 1",-205.19,1.87,,,"no exact name match in CHEBI"
436,L-O-phosphoserine|,C3H7NO6P,-1,">CH- : 1 | -COO : 1 | -NH3 : 1 | -CH2- : 1 | -OPO3 : 1 | Origin : 1",-336.65,0.33,,N[C@@H](COP(O)(O)=O)C(O)=O,
437,cyclocreatine|,C5H9N3O2,0,"ring -CH2- : 2 | ring =C< : 1 | -CH2- : 1 | -COO : 1 | ring -N< : 1 | -NH2 : 1 | ring =NH- : 1 | Origin : 1",-34.91,1.4,,,"no exact name match in CHEBI"
438,phosphocyclocreatine|,C5H8N3O5P,-2,"ring -CH2- : 2 | ring =C< : 1 | -CH2- : 1 | -COO : 1 | ring -N< : 1 | -NH2 : 1 | dbl sgl ring =N< : 1 | -OPO2 : 1 | Origin : 1",-230.78,1.24,,,"no exact name match in CHEBI"
439,ATP|atp|,C10H13N5O13P3,-3,"ring =CH- : 2 | ring =N- : 3 | two fused rings >C= : 2 | ring =C< : 1 | -NH2 : 1 | ring -N< : 1 | ring -CH< : 4 | -OH : 2 | ring -O- : 1 | -OPO2- : 2 | -OPO3 : 1 | -CH2- : 1 | Origin : 1 | heteroaromatic : 2",-673.85,3.04,,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,
440,ADP|adp|,C10H13N5O10P2,-2,"ring =CH- : 2 | two fused rings >C= : 2 | ring =C< : 1 | -NH2 : 1 | ring =N- : 3 | ring -N< : 1 | ring -CH< : 4 | -OH : 2 | ring -O- : 1 | -CH2- : 1 | -OPO2- : 1 | -OPO3 : 1 | Origin : 1 | heteroaromatic : 2",-465.85,3.04,,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,
441,beta-guanadinopropionate|,C4H9N3O2,0,"-NH2 : 1 | =NH2 : 1 | =C< : 1 | -NH- : 1 | -CH2- : 2 | -COO : 1 | Origin : 1",-74.22,1.53,,,"no exact name match in CHEBI"
442,beta-phosphoguanidopropionate|,C4H8N3O5P,-2,"=NH2 : 1 | =C< : 1 | -NH- : 2 | -CH2- : 2 | -COO : 1 | -OPO2 : 1 | Origin : 1",-270.76,1.79,,,"no exact name match in CHEBI"
443,ADP-N1-oxide|,C10H14N5O11P2,-1,"ring -CH2- : 1 | two fused rings >C= : 2 | ring =CH- : 1 | ring =C< : 1 | -NH2 : 1 | ring =N- : 2 | dbl sgl ring =N< : 1 | ring -CH< : 4 | -OH : 2 | ring -O- : 1 | -CH2- : 1 | -OPO2- : 1 | -OPO3 : 1 | ring -NO= : 1 | Origin : 1 | NCCN : 2 | CCNC : 2",None,None,"Involves groups with unknown energy",[O-],
444,ATP-N1-oxide|,C10H13N5O14P3,-3,"ring =CH- : 2 | two fused rings >C= : 2 | ring =C< : 1 | -NH2 : 1 | ring =N- : 2 | ring -N< : 1 | ring -CH< : 4 | -OH : 2 | ring -O- : 1 | -CH2- : 1 | -OPO2- : 2 | -OPO3 : 1 | ring -NO= : 1 | Origin : 1 | heteroaromatic : 2",None,None,"Involves groups with unknown energy",,"no exact name match in CHEBI"
445,UMPimidazole|,C12H14N4O8P,-1,"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 2 | ring =CH- : 5 | -OH : 2 | -CH2- : 1 | -OPO2- : 1 | ring -N< : 2 | ring =N- : 1 | amide : 2 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 1",-302.07,2.63,,,"no exact name match in CHEBI"
446,"3,5-dinitrophenolsulfate|",C6H3N2O8S,-1,"aromatic ring =CH- : 3 | aromatic ring =C< : 3 | -NO2 : 2 | -SO4 : 1 | Origin : 1",None,None,"Involves groups with unknown energy",,"no exact name match in CHEBI"
447,4-nitrophenol|,C6H5NO3,0,"aromatic ring =CH- : 4 | aromatic ring =C< : 2 | -NO2 : 1 | -OH : 1 | Origin : 1",None,None,"Involves groups with unknown energy",Oc1ccc(cc1)N(=O)=O,
448,"3,4,5-trihydroxybenzoic-acid-propyl-ester|",C10H12O5,0,"aromatic ring =CH- : 2 | aromatic ring =C< : 4 | -O-CO- : 1 | -OH : 3 | -CH2- : 2 | -CH3 : 1 | Origin : 1 | OCCC : 1",-164.1,1.44,,,"no exact name match in CHEBI"
449,n-propanol|,C3H8O,0,"-CH3 : 1 | -CH2- : 2 | -OH : 1 | Origin : 1",-41.91,0.24,,CCCO,
450,N-acetylethanolamine-phosphate|,C4H9NO5P,-1,"-CH2- : 2 | >C=O : 1 | -CH3 : 1 | -OPO3 : 1 | amide : 1 | -NH- : 1 | Origin : 1",-286.61,0.7,,,"no exact name match in CHEBI"
451,N-acetylethanolamine|,C4H9NO2,0,"-CH2- : 2 | >C=O : 1 | -CH3 : 1 | -OH : 1 | amide : 1 | -NH- : 1 | Origin : 1",-74.11,0.69,,,"no exact name match in CHEBI"
452,phosphotaurocyamine|,C3H8N3O6PS,-2,"-OPO2 : 1 | -NH- : 2 | =C< : 1 | =NH2 : 1 | -CH2- : 2 | -SO3 : 1 | Origin : 1",-311.41,1.94,,OP(O)(=O)NC(=N)NCCS(O)(=O)=O,
453,2'-deoxyadenosine-5'-monophosphate|dAMP|,C10H13N5O6P,-1,"ring =C< : 1 | ring =CH- : 2 | -NH2 : 1 | ring =N- : 3 | two fused rings >C= : 2 | ring -CH< : 3 | ring -CH2- : 1 | ring -O- : 1 | -CH2- : 1 | -OH : 1 | -OPO3 : 1 | ring -N< : 1 | Origin : 1 | heteroaromatic : 2",-218.01,2.98,,Nc1ncnc2n(cnc12)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1,
454,guanosine-2'3'-cyclic-phosphate|,C10H12N5O7P,0,"two fused rings >C= : 2 | ring -CH2- : 1 | ring >C=O : 1 | ring =N- : 2 | ring =C< : 1 | -NH2 : 1 | dbl sgl ring =N< : 1 | ring -CH< : 2 | ring -O- : 2 | -CH2- : 1 | -OH : 1 | two fused rings >CH- : 2 | ring -OPO2- : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCN : 1 | NCCN : 1 | CCNC : 1",-257.28,3.59,,,"no exact name match in CHEBI"
455,2-hydroxyethyl-phosphate|ethylene-glycol-phosphate|,C2H6O5P,-1,"-CH2- : 2 | -OPO3 : 1 | -OH : 1 | Origin : 1",-292.26,0.27,,,"no exact name match in CHEBI"
456,3-acetylpyridine|,C7H7NO,0,"ring =CH- : 4 | ring =N- : 1 | ring =C< : 1 | -CH3 : 1 | >C=O : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 1",14.16,1.43,,,"no exact name match in CHEBI"
457,3-acetylpyridine-adenine-dinucleotide|,C22H28N6O14P2,0,"ring =CH- : 5 | two fused rings >C= : 2 | ring =N- : 3 | ring -CH2- : 1 | ring =C< : 2 | -NH2 : 1 | dbl sgl ring =N< : 2 | ring -CH< : 8 | ring -O- : 2 | -OH : 4 | -CH2- : 2 | -OPO3- : 1 | -OPO2- : 1 | -CH3 : 1 | >C=O : 1 | Origin : 1 | OCCC : 1 | NCCN : 2 | CCNC : 2 | heteroaromatic : 1",-530.96,4.21,,,"no exact name match in CHEBI"
458,3-acetylpyridine-mononucleotide|,C12H16NO8P,0,"ring =CH- : 4 | dbl sgl ring =N< : 1 | ring =C< : 1 | -CH3 : 1 | >C=O : 1 | ring -CH< : 4 | ring -O- : 1 | -OH : 2 | -CH2- : 1 | -OPO3 : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 1",-329.13,1.96,,,"no exact name match in CHEBI"
459,glycinamide|,C2H7N2O,1,"-NH3 : 1 | -CH2- : 1 | >C=O : 1 | amide : 1 | -NH2 : 1 | Origin : 1",-45.29,0.56,,NCC(N)=O,
460,N-benzoyl-L-tyrosine|,C16H14NO4,-1,"aromatic ring =CH- : 9 | aromatic ring =C< : 3 | -OH : 1 | -CH2- : 1 | -COO : 1 | >CH- : 1 | >C=O : 1 | amide : 1 | -NH- : 1 | Origin : 1 | OCCC : 1",-86.43,1.75,,,"no exact name match in CHEBI"
461,N-benzoyl-L-tyrosylglycine|,C18H17N2O5,-1,"aromatic ring =CH- : 9 | aromatic ring =C< : 3 | -OH : 1 | -CH2- : 2 | >C=O : 2 | -COO : 1 | >CH- : 1 | amide : 2 | -NH- : 2 | Origin : 1 | OCCC : 1",-117.01,2.08,,,"no exact name match in CHEBI"
462,N-acetyl-L-phenylalanylglycinamide|,C13H17N3O3,0,">C=O : 3 | -CH2- : 2 | aromatic ring =C< : 1 | aromatic ring =CH- : 5 | >CH- : 1 | -CH3 : 1 | amide : 3 | -NH- : 2 | -NH2 : 1 | Origin : 1",-68.79,1.79,,,"no exact name match in CHEBI"
463,N-acetyl-L-tyrosine-hydroxamic-acid|CM0338|,C11H14N2O4,0,">CH- : 1 | -CH2- : 1 | >C=O : 2 | aromatic ring =C< : 2 | aromatic ring =CH- : 4 | -OH : 2 | -CH3 : 1 | amide : 2 | -NH- : 2 | Origin : 1",-110.73,1.58,,,"no exact name match in CHEBI"
464,glycylanalide|,C8H11N2O,1,"aromatic ring =CH- : 5 | aromatic ring =C< : 1 | >C=O : 1 | -CH2- : 1 | -NH3 : 1 | amide : 1 | -NH- : 1 | Origin : 1",-5.23,1.03,,,"no exact name match in CHEBI"
465,lysine|,C6H15N2O2,1,"-COO : 1 | -CH2- : 4 | >CH- : 1 | -NH3 : 2 | Origin : 1",-84.04,0.56,,NCCCCC(N)C(O)=O,
466,benzyloxycarbonylglycyl-L-phenylalaninamide|,C19H21N3O4,0,">C=O : 2 | >CH- : 1 | -CH2- : 3 | aromatic ring =C< : 2 | aromatic ring =CH- : 10 | -O-CO- : 1 | amide : 3 | -NH2 : 1 | -NH- : 2 | Origin : 1",-78.82,2.25,,,"no exact name match in CHEBI"
467,L-phenylalaninamide|,C9H13N2O,1,">C=O : 1 | -NH3 : 1 | >CH- : 1 | -CH2- : 1 | aromatic ring =C< : 1 | aromatic ring =CH- : 5 | amide : 1 | -NH2 : 1 | Origin : 1",-8.61,0.97,,,"no exact name match in CHEBI"
468,gamma-glutamohydroxamic-acid|,C5H10N2O4,0,">CH- : 1 | -CH2- : 2 | -COO : 1 | -NH3 : 1 | >C=O : 1 | -OH : 1 | amide : 1 | -NH- : 1 | Origin : 1",-154.73,0.73,,,"no exact name match in CHEBI"
469,penicillinoic-acid|,C16H18N2O5S,-2,"aromatic ring =CH- : 5 | aromatic ring =C< : 1 | -CH2- : 1 | >C=O : 1 | >CH- : 1 | -COO : 2 | ring -CH< : 2 | ring -S- : 1 | -CH3 : 2 | ring >C< : 1 | ring -NH- : 1 | amide : 1 | -NH- : 1 | Origin : 1",-143.65,1.51,,,"no exact name match in CHEBI"
470,penicic-acid|,C8H13N2O4S,-1,"ring -S- : 1 | ring -NH- : 1 | -CH3 : 2 | ring >C< : 1 | ring -CH< : 2 | -COO : 2 | >CH- : 1 | -NH3 : 1 | Origin : 1",-150.92,1.14,,,"no exact name match in CHEBI"
471,phenylacetylglycine|,C10H10NO3,-1,"-COO : 1 | -CH2- : 2 | >C=O : 1 | aromatic ring =C< : 1 | aromatic ring =CH- : 5 | amide : 1 | -NH- : 1 | Origin : 1",-80.46,1.03,,OC(=O)CNC(=O)Cc1ccccc1,
472,N-acetyl-L-glycine|,C4H6NO3,-1,"-CH3 : 1 | >C=O : 1 | -CH2- : 1 | -COO : 1 | amide : 1 | -NH- : 1 | Origin : 1",-117.33,0.67,,,"no exact name match in CHEBI"
473,N-acetyl-L-norleucine|,C8H14NO3,-1,">CH- : 1 | -COO : 1 | -CH2- : 3 | -CH3 : 2 | >C=O : 1 | amide : 1 | -NH- : 1 | Origin : 1",-112.66,0.76,,,"no exact name match in CHEBI"
474,N-acetyl-L-norvaline|,C7H12NO3,-1,"-CH3 : 2 | -CH2- : 2 | >C=O : 1 | >CH- : 1 | -COO : 1 | amide : 1 | -NH- : 1 | Origin : 1",-114.28,0.73,,,"no exact name match in CHEBI"
475,adenylyl-sulfate|aps|,C10H12N5O10PS,-2,"ring =CH- : 2 | two fused rings >C= : 2 | ring =N- : 3 | ring =C< : 1 | -NH2 : 1 | ring -N< : 1 | ring -CH< : 4 | ring -O- : 1 | -OH : 2 | -CH2- : 1 | -OPO2- : 1 | -SO4 : 1 | Origin : 1 | heteroaromatic : 2",-367.85,3.11,,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O,
476,glycerone-phosphate|,C3H6O6P,-1,"-OH : 1 | -CH2- : 2 | >C=O : 1 | -OPO3 : 1 | Origin : 1",-320.66,0.32,,OCC(=O)COP(O)(O)=O,
477,"5,6-dideoxyfructose-1-phosphate|",C6H12O7P,-1,"-OH : 2 | >C=O : 1 | -CH2- : 2 | -OPO3 : 1 | >CH- : 2 | -CH3 : 1 | Origin : 1",-355.65,0.51,,,"no exact name match in CHEBI"
478,2-keto-3-deoxy-D-glycero-D-galacto-nonopyranulosonate|,C9H15O9,-1,"-COO : 1 | >C=O : 1 | -CH2- : 2 | >CH- : 5 | -OH : 6 | Origin : 1 | OCCO : 1",-329.4,1.13,,,"no exact name match in CHEBI"
479,3-dehydroquinate|5-dehydroquinate|,C7H9O6,-1,"ring -CH2- : 2 | ring -CH< : 2 | -OH : 3 | ring >C=O : 1 | ring >C< : 1 | -COO : 1 | Origin : 1",-214.49,0.92,,O[C@@H]1C[C@@](O)(CC(=O)[C@H]1O)C([O-])=O,
480,"3S-3,6-diaminohexanoate|",C6H15N2O2,1,"-CH2- : 4 | -COO : 1 | -NH3 : 2 | >CH- : 1 | Origin : 1",-84.04,0.56,,,"no exact name match in CHEBI"
481,3R-3-hydroxyhexanoyl-CoA|,C27H44N7O18P3S,-2,"dbl sgl ring =N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 2 | -OH : 3 | ring =C< : 1 | -OPO3 : 1 | -CH2- : 9 | ring -NH- : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 2 | -CH3 : 3 | >C=O : 3 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | CCCN : 1 | CCNC : 3",-825.37,3.43,,CCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12,
482,gamma-fluoroglutamate|,C5H7NO4F,-1,"-COO : 2 | -CH2- : 1 | WF : 1 | >CH- : 2 | -NH3 : 1 | Origin : 1",None,None,"Involves groups with unknown energy",,"no exact name match in CHEBI"
483,trans-D-3-fluoro-2-pyrrolidone-5-carboxylate|CM0396|cis-D-3-fluoro-2-pyrrolidone-5-carboxylate|,C5H5NO3F,-1,"ring -CH2- : 1 | ring >C=O : 1 | ring -CH< : 2 | WF : 1 | -COO : 1 | amide : 1 | ring -NH- : 1 | Origin : 1",None,None,"Involves groups with unknown energy",,"no exact name match in CHEBI"
484,beta-alanylpantetheine|,C14H28N3O5S,1,">C=O : 3 | >CH- : 1 | >C< : 1 | -OH : 2 | -CH2- : 7 | -CH3 : 2 | -NH3 : 1 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1",-168.34,1.8,,,"no exact name match in CHEBI"
485,acrylylpantetheine|,C14H24N2O5S,0,">C=O : 3 | >CH- : 1 | >C< : 1 | -OH : 2 | -CH2- : 5 | -CH3 : 2 | =CH- : 1 | =CH2 : 1 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | OCCC : 1",-147.21,1.8,,,"no exact name match in CHEBI"
486,N-5-amino-1-beta-D-ribosyl-4-imidazoyl-carbonyl-L-aspartic-acid-5'-phosphate|,C13H16N4O12P,-3,"ring -N< : 1 | ring -CH< : 4 | ring =C< : 2 | ring =CH- : 1 | ring -O- : 1 | -NH2 : 1 | ring =N- : 1 | -OH : 2 | >C=O : 1 | -CH2- : 2 | -OPO3 : 1 | >CH- : 1 | -COO : 2 | amide : 1 | -NH- : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 1",-487.65,1.94,,,"no exact name match in CHEBI"
487,4-aminobutanoate|,C4H9NO2,0,"-CH2- : 3 | -COO : 1 | -NH3 : 1 | Origin : 1",-84.49,0.35,,,"no exact name match in CHEBI"
488,D-lyxose|,C5H10O5,0,"-OH : 4 | -CH=O : 1 | >CH- : 3 | -CH2- : 1 | Origin : 1",-179.54,0.71,,[H][C@@](O)(CO)[C@]([H])(O)[C@]([H])(O)C=O,
489,rhamnulose|,C6H12O5,0,"-OH : 4 | -CH2- : 1 | >C=O : 1 | >CH- : 3 | -CH3 : 1 | Origin : 1",-181.19,0.72,,,"no exact name match in CHEBI"
490,heptanoate|,C7H13O2,-1,"-CH3 : 1 | -CH2- : 5 | -COO : 1 | Origin : 1",-78.65,0.47,,CCCCCCC([O-])=O,
491,n-heptanoyl-CoA|,C28H45N7O17P3S,-3,"ring =CH- : 2 | two fused rings >C= : 2 | ring =N- : 3 | ring =C< : 1 | -NH2 : 1 | ring -N< : 1 | ring -CH< : 4 | ring -O- : 1 | -OH : 2 | -OPO3 : 1 | -CH2- : 11 | -OPO2- : 1 | -OPO3- : 1 | -CH3 : 3 | >C< : 1 | >CH- : 1 | >C=O : 3 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-777.73,3.63,,,"no exact name match in CHEBI"
492,N-benzoyl-L-tyrosylglycinanilide|,C24H23N3O4,0,"aromatic ring =CH- : 14 | aromatic ring =C< : 4 | >C=O : 3 | -CH2- : 2 | -OH : 1 | >CH- : 1 | amide : 3 | -NH- : 3 | Origin : 1 | OCCC : 1",-34.51,3.07,,,"no exact name match in CHEBI"
493,"alpha,alpha-trehalose-6-phosphate|",C12H22O14P,-1,"ring -CH< : 10 | -CH2- : 2 | -OPO3 : 1 | -OH : 7 | ring -O- : 2 | -O- : 1 | Origin : 1",-589.26,2.99,,OC[C@H]1O[C@H](O[C@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,
494,"4',5'-anhydroadenosine|",C10H11N5O3,0,"two fused rings >C= : 2 | ring =CH- : 2 | ring =N- : 3 | ring =C< : 1 | -NH2 : 1 | ring -N< : 1 | ring -CH< : 2 | ring -O- : 2 | two fused rings >CH- : 2 | -CH2- : 1 | -OH : 1 | Origin : 1 | heteroaromatic : 2 | threemember : 1",10.97,3.98,,,"no exact name match in CHEBI"
495,L-fucose|,C6H12O5,0,"-CH=O : 1 | -CH3 : 1 | >CH- : 4 | -OH : 4 | Origin : 1",-179.73,0.82,,,
496,ammonium-carbamate|,CH2NO2,-1,"carbamate : 1",-95.7,0.5,,,"no exact name match in CHEBI"
497,3-oxobutanoyl-CoA|,C25H38N7O18P3S,-2,"dbl sgl ring =N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 2 | -OH : 2 | ring =C< : 1 | -CH2- : 7 | -OPO3 : 1 | ring -NH- : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 3 | >C=O : 4 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | CCCN : 1 | CCNC : 3",-820.59,3.4,,,"no exact name match in CHEBI"
498,3-hydroxybutanoyl-CoA|,C25H39N7O18P3S,-3,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 3 | ring =C< : 1 | -CH2- : 7 | -OPO3 : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 2 | -CH3 : 3 | >C=O : 3 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-820.63,3.57,,CC(O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12,
499,2-oxo-D-gluconate|,C6H9O7,-1,">CH- : 3 | >C=O : 1 | -OH : 4 | -COO : 1 | -CH2- : 1 | Origin : 1 | OCCO : 1",-258.18,0.74,,,"no exact name match in CHEBI"
500,acyl-carrier-protein|,HRS,0,"RW : 1 | -SH : 1 | Origin : 1",None,None,"Involves groups with unknown energy",,
501,butyryl-CoA|btcoa|,C25H39N7O17P3S,-3,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -CH2- : 8 | -OPO3 : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 3 | >C=O : 3 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-782.59,3.56,,CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12,
502,malonyl-acyl-carrier-protein|,C3H2O3RS,-1,"-CH2- : 1 | -COO : 1 | >C=O : 1 | RW : 1 | -S- : 1 | thioester : 1 | Origin : 1",None,None,"Involves groups with unknown energy",OC(=O)CC(=O)S[*],
503,acetyl-acyl-carrier-protein|,C2H3ORS,0,"-CH3 : 1 | >C=O : 1 | RW : 1 | -S- : 1 | thioester : 1 | Origin : 1",None,None,"Involves groups with unknown energy",CC(=O)S[*],
504,3R-3-hydroxybutanoyl-acyl-carrier-protein|,C5H9O2RS,0,">C=O : 1 | RW : 1 | -CH2- : 2 | -CH3 : 1 | >CH- : 1 | -OH : 1 | -S- : 1 | thioester : 1 | Origin : 1",None,None,"Involves groups with unknown energy",,"no exact name match in CHEBI"
505,3-oxobutanoyl-acyl-carrier-protein|,C5H7O2RS,0,">C=O : 2 | RW : 1 | -CH2- : 2 | -CH3 : 1 | -S- : 1 | thioester : 1 | Origin : 1",None,None,"Involves groups with unknown energy",,"no exact name match in CHEBI"
506,N-benzoyl-L-tyrosylglycinamide|,C18H19N3O4,0,"aromatic ring =CH- : 9 | aromatic ring =C< : 3 | -OH : 1 | -CH2- : 2 | >C=O : 3 | >CH- : 1 | amide : 3 | -NH- : 2 | -NH2 : 1 | Origin : 1 | OCCC : 1",-74.57,2.28,,,"no exact name match in CHEBI"
507,phenyl-acetic-acid|phenyl­acetic-acid|,C8H7O2,-1,"aromatic ring =CH- : 5 | aromatic ring =C< : 1 | -COO : 1 | -CH2- : 1 | Origin : 1",-49.88,0.79,,,"no exact name match in CHEBI"
508,penicillin-G|,C16H17N2O4S,-1,"aromatic ring =CH- : 5 | aromatic ring =C< : 1 | -CH2- : 1 | >C=O : 1 | ring -CH< : 2 | ring >C=O : 1 | two fused rings >CH- : 1 | ring -S- : 1 | -COO : 1 | -CH3 : 2 | ring >C< : 1 | two fused rings -N< : 1 | amide : 1 | -NH- : 1 | Origin : 1",-86.91,1.96,,,"no exact name match in CHEBI"
509,pteroate|,C14H11N6O3,-1,"-COO : 1 | aromatic ring =C< : 2 | aromatic ring =CH- : 4 | -NH- : 1 | ring =C< : 2 | ring =CH- : 1 | ring =N- : 3 | two fused rings >C= : 2 | ring >C=O : 1 | -NH2 : 1 | -CH2- : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 2 | CCNC : 1 | heteroaromatic : 1",-0.82,2.95,,,
510,folate|,C19H17N7O6,-2,"two fused rings >C= : 2 | ring =N- : 3 | ring >C=O : 1 | ring =CH- : 1 | ring =C< : 2 | -NH2 : 1 | -CH2- : 3 | -NH- : 2 | aromatic ring =C< : 2 | aromatic ring =CH- : 4 | >C=O : 1 | >CH- : 1 | -COO : 2 | amide : 2 | ring -NH- : 1 | Origin : 1 | OCCC : 2 | CCNC : 1 | heteroaromatic : 1",-107.8,3.16,,,
511,"5,6,7,8-tetrahydrofolate|thf|",C19H21N7O6,-2,"-CH2- : 3 | -NH- : 2 | aromatic ring =C< : 2 | aromatic ring =CH- : 4 | >C=O : 1 | >CH- : 1 | -COO : 2 | ring -CH2- : 1 | two fused rings >C= : 2 | ring >C=O : 1 | ring =C< : 1 | ring -NH- : 3 | ring =N- : 1 | ring -CH< : 1 | -NH2 : 1 | amide : 2 | Origin : 1 | OCCC : 2 | CCNC : 1",-113.97,3.02,,Nc1nc2NC[C@H](CNc3ccc(cc3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)Nc2c(=O)[nH]1,
512,"5,10-methenyltetrahydrofolate|",C20H20N7O6,-1,"two fused rings =N< : 1 | two fused rings >C= : 2 | two fused rings >CH- : 1 | ring =CH- : 1 | ring >C=O : 1 | ring -CH2- : 2 | ring -N< : 1 | ring -NH- : 2 | ring =N- : 1 | aromatic ring =C< : 2 | ring =C< : 1 | aromatic ring =CH- : 4 | -NH2 : 1 | >C=O : 1 | >CH- : 1 | -CH2- : 2 | -COO : 2 | amide : 2 | -NH- : 1 | Origin : 1 | OCCC : 2 | CCNC : 2",-97,3.12,,,"no exact name match in CHEBI"
513,"5,10-methylenetetrahydrofolate|",C20H21N7O6,-2,"two fused rings -N< : 1 | two fused rings >C= : 2 | two fused rings >CH- : 1 | ring -CH2- : 3 | ring >C=O : 1 | ring -N< : 1 | ring -NH- : 2 | ring =N- : 1 | aromatic ring =C< : 2 | aromatic ring =CH- : 4 | >C=O : 1 | >CH- : 1 | -CH2- : 2 | -COO : 2 | ring =C< : 1 | -NH2 : 1 | amide : 2 | -NH- : 1 | Origin : 1 | OCCC : 2 | CCNC : 1",-93.65,3.09,,Nc1nc2NCC3CN(CN3c2c(=O)[nH]1)c1ccc(cc1)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O,
